client_id,credit_limit_initial,credit_limit,add_product,mp_first_login,mp_last_login,tp_num,cl_age,education_id,gender_id,marital_status_id,employment_status_cd,city_population_category,app_channel
16036,15000.00,15000.00,Халва,2018-12-05 00:00:00.000,2019-02-07 00:00:00.000,NULL,45,3,2,2,PNW,0 – 100 тыс,Walk In Sales
72530,30000.00,30000.00,Халва + ДК,2018-12-01 00:00:00.000,2018-12-01 00:00:00.000,NULL,65,3,1,4,PNS,300 – 700 тыс,Call Center
81134,15000.00,15000.00,Халва,NULL,NULL,NULL,59,3,1,2,PNS,0 – 100 тыс,Walk In Sales
82643,15000.00,150000.00,Халва,2018-05-18 00:00:00.000,2019-03-11 00:00:00.000,1,37,6,1,1,EME,>700 тыс,Walk In Sales
103623,15000.00,30000.00,Халва,2018-10-28 00:00:00.000,2019-02-10 00:00:00.000,NULL,65,2,2,2,PNS,100 – 300 тыс,УРМ
114914,15000.00,15000.00,Халва,2018-07-17 00:00:00.000,2018-07-17 00:00:00.000,NULL,60,3,2,3,PNS,0 – 100 тыс,Call Center
122428,15000.00,30000.00,Халва,2018-03-31 00:00:00.000,2019-03-09 00:00:00.000,NULL,39,3,2,2,EME,300 – 700 тыс,Call Center
129642,30000.00,30000.00,Халва,NULL,NULL,NULL,60,2,2,2,EME,100 – 300 тыс,Walk In Sales
147391,20000.00,20000.00,Халва,NULL,NULL,NULL,70,3,1,2,PNS,300 – 700 тыс,Call Center
149542,20000.00,20000.00,Халва,NULL,NULL,NULL,60,2,1,4,PNS,100 – 300 тыс,Walk In Sales
150574,30000.00,30000.00,Халва,2018-04-17 00:00:00.000,2019-03-11 00:00:00.000,NULL,59,6,1,4,PNW,300 – 700 тыс,Walk In Sales
169101,30000.00,30000.00,Халва + ДК,2018-04-24 00:00:00.000,2019-03-11 00:00:00.000,NULL,39,3,2,2,PNS,0 – 100 тыс,Walk In Sales
172389,60000.00,90000.00,Халва,2018-03-30 00:00:00.000,2019-03-09 00:00:00.000,NULL,32,-1,2,-1,UNK,0 – 100 тыс,Internet Sales
189477,15000.00,60000.00,Халва,2018-10-08 00:00:00.000,2019-02-22 00:00:00.000,1,66,3,2,4,PNS,100 – 300 тыс,Walk In Sales
198299,15000.00,30000.00,Халва,2018-03-30 00:00:00.000,2019-03-05 00:00:00.000,NULL,31,3,1,2,EME,0 – 100 тыс,Walk In Sales
243247,60000.00,60000.00,Халва,2018-05-22 00:00:00.000,2019-03-08 00:00:00.000,NULL,34,2,2,2,EME,100 – 300 тыс,Internet Sales
253210,50000.00,50000.00,Халва,2018-04-08 00:00:00.000,2019-03-04 00:00:00.000,NULL,50,-1,1,-1,UNK,100 – 300 тыс,DSA
256890,15000.00,15000.00,Халва,NULL,NULL,NULL,58,3,1,3,PNW,0 – 100 тыс,Internet Sales
270817,15000.00,15000.00,Халва,2018-04-20 00:00:00.000,2019-03-11 00:00:00.000,2,48,3,1,3,EME,0 – 100 тыс,Walk In Sales
275849,30000.00,30000.00,Халва,2018-06-05 00:00:00.000,2019-02-19 00:00:00.000,1,61,3,2,2,PNS,0 – 100 тыс,Walk In Sales
288309,30000.00,60000.00,Халва,2018-07-30 00:00:00.000,2019-03-11 00:00:00.000,1,55,3,1,4,PNW,0 – 100 тыс,Walk In Sales
296498,15000.00,30000.00,Халва,2018-04-04 00:00:00.000,2019-02-15 00:00:00.000,NULL,58,3,1,5,PNS,0 – 100 тыс,Call Center
319793,75000.00,75000.00,Халва,2018-04-07 00:00:00.000,2019-03-07 00:00:00.000,NULL,34,-1,1,1,UNK,300 – 700 тыс,DSA
359740,15000.00,15000.00,Халва,2018-05-08 00:00:00.000,2019-02-23 00:00:00.000,2,41,3,1,1,EME,0 – 100 тыс,Walk In Sales
