,client_id,credit_limit_initial,credit_limit,add_product,mp_first_login,mp_last_login,tp_num,cl_age,education_id,gender_id,marital_status_id,employment_status_cd,city_population_category,app_channel,Авто и запчасти frequency,Авто и запчасти amount,Аптеки frequency,Аптеки amount,Детские товары frequency,Детские товары amount,Досуг и развлечения frequency,Досуг и развлечения amount,Заправки frequency,Заправки amount,Зоотовары frequency,Зоотовары amount,Интернет-магазины frequency,Интернет-магазины amount,Кафе и рестораны frequency,Кафе и рестораны amount,Косметика и парфюмерия frequency,Косметика и парфюмерия amount,Красота и здоровье frequency,Красота и здоровье amount,Мебель и товары для дома frequency,Мебель и товары для дома amount,Одежда и обувь frequency,Одежда и обувь amount,Подарки и развлечения frequency,Подарки и развлечения amount,Прочее frequency,Прочее amount,Путешествия frequency,Путешествия amount,Спорт frequency,Спорт amount,Страхование frequency,Страхование amount,Такси и грузоперевозки frequency,Такси и грузоперевозки amount,Товары для ремонта frequency,Товары для ремонта amount,Электроника frequency,Электроника amount,Ювелирные изделия frequency,Ювелирные изделия amount
0,16036,15000.0,15000.0,Халва,2018-12-05 00:00:00.000,2019-02-07 00:00:00.000,,45,3,2,2,PNW,0 – 100 тыс,Walk In Sales,0,0.0,2,539.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,72530,30000.0,30000.0,Халва + ДК,2018-12-01 00:00:00.000,2018-12-01 00:00:00.000,,65,3,1,4,PNS,300 – 700 тыс,Call Center,0,0.0,0,0.0,1,1044.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3113.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,81134,15000.0,15000.0,Халва,,,,59,3,1,2,PNS,0 – 100 тыс,Walk In Sales,0,0.0,0,0.0,1,730.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,4737.46,0,0.0,0,0.0,0,0.0,2,1785.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2860.0,0,0.0,0,0.0
3,82643,15000.0,150000.0,Халва,2018-05-18 00:00:00.000,2019-03-11 00:00:00.000,1.0,37,6,1,1,EME,>700 тыс,Walk In Sales,0,0.0,3,2464.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,17454.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,103623,15000.0,30000.0,Халва,2018-10-28 00:00:00.000,2019-02-10 00:00:00.000,,65,2,2,2,PNS,100 – 300 тыс,УРМ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,15556.779999999999,0,0.0,0,0.0,1,1511.0,0,0.0,0,0.0,0,0.0,1,7990.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,114914,15000.0,15000.0,Халва,2018-07-17 00:00:00.000,2018-07-17 00:00:00.000,,60,3,2,3,PNS,0 – 100 тыс,Call Center,0,0.0,0,0.0,0,0.0,0,0.0,1,1027.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,122428,15000.0,30000.0,Халва,2018-03-31 00:00:00.000,2019-03-09 00:00:00.000,,39,3,2,2,EME,300 – 700 тыс,Call Center,1,3451.5,0,0.0,0,0.0,0,0.0,9,4379.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,110.0,0,0.0,0,0.0
7,129642,30000.0,30000.0,Халва,,,,60,2,2,2,EME,100 – 300 тыс,Walk In Sales,14,3059.9199999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,319.22999999999996,0,0.0,1,355.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,147391,20000.0,20000.0,Халва,,,,70,3,1,2,PNS,300 – 700 тыс,Call Center,0,0.0,1,592.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2136.69,0,0.0,6,6746.0,0,0.0,0,0.0,1,565.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2442.0,0,0.0,0,0.0
9,149542,20000.0,20000.0,Халва,,,,60,2,1,4,PNS,100 – 300 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,3014.2000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,150574,30000.0,30000.0,Халва,2018-04-17 00:00:00.000,2019-03-11 00:00:00.000,,59,6,1,4,PNW,300 – 700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,1,550.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5921.44,8,20338.0,0,0.0,4,3133.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,169101,30000.0,30000.0,Халва + ДК,2018-04-24 00:00:00.000,2019-03-11 00:00:00.000,,39,3,2,2,PNS,0 – 100 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4580.0,3,11059.0,0,0.0
